Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Calories
Weight Gain,Chicken Breast with Rice,Asian,40,50,10,450
Weight Gain,Beef Steak with Sweet Potato,American,45,60,15,550
Weight Gain,Salmon with Quinoa,Mediterranean,35,55,20,600
Weight Gain,Peanut Butter Oats,Continental,25,70,30,700
Weight Gain,Avocado Egg Toast,European,20,40,25,500
Weight Gain,Greek Yogurt with Nuts,Greek,30,40,20,500
Weight Gain,Protein Pancakes,American,35,80,10,550
Weight Gain,Tofu Stir Fry,Asian,30,60,15,450
Weight Gain,Turkey Wrap,Continental,40,50,10,500
Weight Gain,Lentil Soup,Middle Eastern,25,70,5,400
Weight Gain,Almond Smoothie,American,20,50,15,450
Weight Gain,Cottage Cheese Bowl,Indian,35,45,20,500
Weight Gain,Bulgur Salad with Chicken,Mediterranean,40,60,15,550
Weight Gain,Cheese Omelette,European,30,30,25,450
Weight Gain,Pasta with Pesto Sauce,Italian,25,80,20,600
Weight Gain,Shrimp Tacos,Mexican,35,50,15,500
Weight Gain,Spinach Smoothie,American,20,50,10,350
Weight Gain,Egg Fried Rice,Asian,30,70,15,550
Weight Gain,Hummus with Pita Bread,Middle Eastern,25,60,10,450
Weight Gain,Walnut Salad,Greek,20,40,15,400
Weight Gain,Banana Nut Shake,Continental,20,80,25,700
Weight Gain,Chia Pudding,European,15,50,20,450
Weight Gain,BBQ Chicken Pizza,American,30,80,20,650
Weight Gain,Roast Beef Sandwich,European,40,60,15,550
Weight Gain,Stuffed Bell Peppers,Greek,35,50,20,500
Weight Gain,Pumpkin Soup,Continental,20,45,10,400
Weight Gain,Mixed Berry Smoothie,American,15,60,10,400
Weight Gain,Chickpea Salad,Middle Eastern,25,55,10,450
Weight Gain,Mac & Cheese,American,20,70,25,600
Weight Gain,Beef Burrito,Mexican,45,60,20,650
Weight Gain,Seared Tuna with Rice,Asian,50,50,10,550
Weight Gain,Grilled Portobello Mushroom,European,15,30,15,350
Weight Gain,Lamb Stew,Middle Eastern,40,50,30,700
Weight Gain,Pearl Barley Salad,Greek,25,60,15,450
Weight Gain,Creamy Tomato Pasta,Italian,20,80,25,650
Weight Gain,Falafel Wrap,Middle Eastern,30,60,15,500
Weight Gain,Coconut Curry Tofu,Asian,25,70,20,600
Weight Gain,Chocolate Protein Bar,American,20,40,15,450
Weight Gain,Quinoa Bowl with Beans,Mediterranean,35,65,10,550
Weight Gain,Beetroot Hummus,Middle Eastern,20,50,10,400
Weight Gain,Loaded Sweet Potato Fries,American,30,70,25,700
Weight Gain,Zucchini Noodles,European,20,40,15,350
Weight Gain,Protein Granola Bowl,Continental,25,60,15,450
Weight Gain,Teriyaki Chicken Bowl,Asian,45,70,15,600
Weight Gain,Stuffed Eggplant,Greek,35,50,20,500
Weight Gain,Apple Pie Oats,American,20,70,15,500
Weight Gain,Caesar Salad,European,25,50,20,500
Weight Gain,Soba Noodle Bowl,Asian,30,60,10,450
Weight Gain,Turkey Meatballs,American,40,40,15,500
Weight Gain,Baked Salmon,Continental,35,45,10,500
Weight Gain,Spinach Ricotta Ravioli,Italian,20,70,15,600
Weight Gain,Stuffed Mushrooms,Greek,20,40,15,400
Weight Gain,Creamy Lentil Soup,Middle Eastern,25,55,10,450
Weight Gain,Chicken Curry,Asian,40,50,15,550
Weight Gain,Banana Smoothie,American,15,60,10,400
Weight Gain,Cheesy Broccoli Bake,Continental,30,40,20,500
Weight Gain,Fruit Salad,European,10,60,5,300
Weight Gain,Grilled Cheese Sandwich,American,25,50,20,500
Weight Gain,Chicken Caesar Wrap,Continental,35,40,15,450
Weight Gain,Miso Soup,Asian,10,40,5,300
Weight Gain,Lamb Gyro,Middle Eastern,40,50,20,550
Weight Gain,Quinoa Avocado Salad,Greek,25,55,15,450
Weight Gain,Beef Stir Fry,Asian,45,60,15,550
Weight Gain,Sweet Corn Soup,American,15,60,10,350
Weight Gain,Mixed Nut Bar,Continental,20,50,20,500
Weight Gain,Chicken Tikka,Indian,35,45,15,550
Weight Gain,Black Bean Tacos,Mexican,30,60,15,500
Weight Gain,Coconut Chia Pudding,Asian,20,50,20,450
Weight Gain,Stuffed Sweet Potatoes,American,35,60,20,600
Weight Gain,Avocado Chickpea Toast,Continental,20,40,15,400
Weight Gain,Pumpkin Oatmeal,European,20,70,15,500
Weight Gain,Cajun Chicken Pasta,American,40,60,20,650
Weight Gain,Tofu Buddha Bowl,Asian,30,70,15,500
Weight Gain,Peanut Butter Brownie,American,20,50,25,550
Weight Gain,Lentil Veggie Burger,Middle Eastern,25,50,15,450
Weight Gain,Stuffed Zucchini,Greek,20,40,15,400
Weight Gain,Grilled Salmon,Continental,35,45,10,500
Weight Gain,Chickpea Curry,Indian,30,50,15,500
Weight Gain,Beef Stew,European,45,50,20,600
